"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1970","1970","NBR","Number","0","Units",,,12644,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1971","1971","NBR","Number","0","Units",,,14363,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1972","1972","NBR","Number","0","Units",,,15073,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1973","1973","NBR","Number","0","Units",,,16925,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1974","1974","NBR","Number","0","Units",,,19160,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1975","1975","NBR","Number","0","Units",,,22191,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1976","1976","NBR","Number","0","Units",,,23767,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1977","1977","NBR","Number","0","Units",,,22579,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1978","1978","NBR","Number","0","Units",,,23557,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1979","1979","NBR","Number","0","Units",,,19278,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1980","1980","NBR","Number","0","Units",,,17820,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1981","1981","NBR","Number","0","Units",,,20401,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1982","1982","NBR","Number","0","Units",,,26055,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1983","1983","NBR","Number","0","Units",,,32414,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1984","1984","NBR","Number","0","Units",,,35477,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1985","1985","NBR","Number","0","Units",,,30191,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1986","1986","NBR","Number","0","Units",,,45478,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1987","1987","NBR","Number","0","Units",,,52488,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1988","1988","NBR","Number","0","Units",,,51248,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1989","1989","NBR","Number","0","Units",,,51984,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1990","1990","NBR","Number","0","Units",,,55941,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1991","1991","NBR","Number","0","Units",,,56532,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1992","1992","NBR","Number","0","Units",,,58304,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1993","1993","NBR","Number","0","Units",,,63289,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1994","1994","NBR","Number","0","Units",,,62584,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1995","1995","NBR","Number","0","Units",,,66029,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1996","1996","NBR","Number","0","Units",,,60790,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1997","1997","NBR","Number","0","Units",,,61480,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1998","1998","NBR","Number","0","Units",,,71240,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","1999","1999","NBR","Number","0","Units",,,72269,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2000","2000","NBR","Number","0","Units",,,75991,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2001","2001","NBR","Number","0","Units",,,66243,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2002","2002","NBR","Number","0","Units",,,65748,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2003","2003","NBR","Number","0","Units",,,67031,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2004","2004","NBR","Number","0","Units",,,77008,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2005","2005","NBR","Number","0","Units",,,87273,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2006","2006","NBR","Number","0","Units",,,96128,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2007","2007","NBR","Number","0","Units",,,106994,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2008","2008","NBR","Number","0","Units",,,104212,,
