"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1990","1990","USD","US Dollar","0","Units","2018","2018",40102.1732785431,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1991","1991","USD","US Dollar","0","Units","2018","2018",39911.2102876342,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1992","1992","USD","US Dollar","0","Units","2018","2018",40712.3739621699,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1993","1993","USD","US Dollar","0","Units","2018","2018",41087.1550639477,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1994","1994","USD","US Dollar","0","Units","2018","2018",41365.7226197244,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1995","1995","USD","US Dollar","0","Units","2018","2018",41206.7357836147,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1996","1996","USD","US Dollar","0","Units","2018","2018",42427.5033262506,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1997","1997","USD","US Dollar","0","Units","2018","2018",43697.2685628407,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1998","1998","USD","US Dollar","0","Units","2018","2018",44317.1972242176,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","1999","1999","USD","US Dollar","0","Units","2018","2018",45360.2299685633,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2000","2000","USD","US Dollar","0","Units","2018","2018",45458.5096363694,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2001","2001","USD","US Dollar","0","Units","2018","2018",45953.2936623797,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2002","2002","USD","US Dollar","0","Units","2018","2018",46269.5665426124,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2003","2003","USD","US Dollar","0","Units","2018","2018",46810.8438501126,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2004","2004","USD","US Dollar","0","Units","2018","2018",48267.3840304376,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2005","2005","USD","US Dollar","0","Units","2018","2018",48891.3050076281,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2006","2006","USD","US Dollar","0","Units","2018","2018",49207.5053883964,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2007","2007","USD","US Dollar","0","Units","2018","2018",50565.398193117,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2008","2008","USD","US Dollar","0","Units","2018","2018",50973.1926470124,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2009","2009","USD","US Dollar","0","Units","2018","2018",50511.0293896211,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2010","2010","USD","US Dollar","0","Units","2018","2018",52252.9794431782,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2011","2011","USD","US Dollar","0","Units","2018","2018",53905.7740099515,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2012","2012","USD","US Dollar","0","Units","2018","2018",54226.1894778328,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2013","2013","USD","US Dollar","0","Units","2018","2018",53977.419108946,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2014","2014","USD","US Dollar","0","Units","2018","2018",54391.757436256,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2015","2015","USD","US Dollar","0","Units","2018","2018",53946.2663148117,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2016","2016","USD","US Dollar","0","Units","2018","2018",53971.5974618331,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2017","2017","USD","US Dollar","0","Units","2018","2018",53507.2854602183,,
"AUS","Australia","USDPPP","In 2018 constant prices at 2018 USD PPPs","2018","2018","USD","US Dollar","0","Units","2018","2018",53349.4136154893,,
"AUT","Austria","USDPPP","In 2018 constant prices at 2018 USD PPPs","1990","1990","USD","US Dollar","0","Units","2018","2018",40821.5319617133,,
"AUT","Austria","USDPPP","In 2018 constant prices at 2018 USD PPPs","1991","1991","USD","US Dollar","0","Units","2018","2018",42097.5554387251,,
"AUT","Austria","USDPPP","In 2018 constant prices at 2018 USD PPPs","1992","1992","USD","US Dollar","0","Units","2018","2018",42945.6673977692,,
"AUT","Austria","USDPPP","In 2018 constant prices at 2018 USD PPPs","1993","1993","USD","US Dollar","0","Units","2018","2018",43295.8157802583,,
