,year,variable,value
0,1948,事故件数,21341
1,1949,事故件数,25113
2,1950,事故件数,33212
3,1951,事故件数,41423
4,1952,事故件数,58487
5,1953,事故件数,80019
6,1954,事故件数,93869
7,1955,事故件数,93981
8,1956,事故件数,122691
9,1957,事故件数,146833
10,1958,事故件数,168799
11,1959,事故件数,201292
12,1960,事故件数,449917
13,1961,事故件数,493693
14,1962,事故件数,479825
15,1963,事故件数,531966
16,1964,事故件数,557183
17,1965,事故件数,567286
18,1966,事故件数,425944
19,1967,事故件数,521481
20,1968,事故件数,635056
21,1969,事故件数,720880
22,1970,事故件数,718080
23,1971,事故件数,700290
24,1972,事故件数,659283
25,1973,事故件数,586713
26,1974,事故件数,490452
27,1975,事故件数,472938
28,1976,事故件数,471041
29,1977,事故件数,460649
30,1978,事故件数,464037
31,1979,事故件数,471573
32,1980,事故件数,476677
33,1981,事故件数,485578
34,1982,事故件数,502261
35,1983,事故件数,526362
36,1984,事故件数,518642
37,1985,事故件数,552788
38,1986,事故件数,579190
39,1987,事故件数,590723
40,1988,事故件数,614481
41,1989,事故件数,661363
42,1990,事故件数,643097
43,1991,事故件数,662392
44,1992,事故件数,695346
45,1993,事故件数,724678
46,1994,事故件数,729461
47,1995,事故件数,761794
48,1996,事故件数,771085
49,1997,事故件数,780401
50,1998,事故件数,803882
51,1999,事故件数,850371
52,2000,事故件数,931950
53,2001,事故件数,947253
54,2002,事故件数,936950
55,2003,事故件数,948281
56,2004,事故件数,952720
57,2005,事故件数,934346
58,2006,事故件数,887267
59,2007,事故件数,832704
60,2008,事故件数,766394
61,2009,事故件数,737637
62,2010,事故件数,725924
63,2011,事故件数,692084
64,2012,事故件数,665157
65,2013,事故件数,629033
66,2014,事故件数,573842
67,2015,事故件数,536899
68,2016,事故件数,499201
69,2017,事故件数,472165
70,2018,事故件数,430345
71,1948,負傷者数,17609
72,1949,負傷者数,20242
73,1950,負傷者数,25450
74,1951,負傷者数,31274
75,1952,負傷者数,43321
76,1953,負傷者数,59280
77,1954,負傷者数,72390
78,1955,負傷者数,76501
79,1956,負傷者数,102072
80,1957,負傷者数,124530
81,1958,負傷者数,145432
82,1959,負傷者数,175951
83,1960,負傷者数,289156
84,1961,負傷者数,308697
85,1962,負傷者数,313813
86,1963,負傷者数,359089
87,1964,負傷者数,401117
88,1965,負傷者数,425666
89,1966,負傷者数,517775
90,1967,負傷者数,655377
91,1968,負傷者数,828071
92,1969,負傷者数,967000
93,1970,負傷者数,981096
94,1971,負傷者数,949689
95,1972,負傷者数,889198
96,1973,負傷者数,789948
97,1974,負傷者数,651420
98,1975,負傷者数,622467
99,1976,負傷者数,613957
100,1977,負傷者数,593211
101,1978,負傷者数,594116
102,1979,負傷者数,596282
103,1980,負傷者数,598719
104,1981,負傷者数,607346
105,1982,負傷者数,626192
106,1983,負傷者数,654822
107,1984,負傷者数,644321
108,1985,負傷者数,681346
109,1986,負傷者数,712330
110,1987,負傷者数,722179
111,1988,負傷者数,752845
112,1989,負傷者数,814832
113,1990,負傷者数,790295
114,1991,負傷者数,810245
115,1992,負傷者数,844003
116,1993,負傷者数,878633
117,1994,負傷者数,881723
118,1995,負傷者数,922677
119,1996,負傷者数,942204
120,1997,負傷者数,958925
121,1998,負傷者数,990676
122,1999,負傷者数,1050399
123,2000,負傷者数,1155707
124,2001,負傷者数,1181039
125,2002,負傷者数,1168029
126,2003,負傷者数,1181681
127,2004,負傷者数,1183617
128,2005,負傷者数,1157113
129,2006,負傷者数,1098564
130,2007,負傷者数,1034652
131,2008,負傷者数,945703
132,2009,負傷者数,911215
133,2010,負傷者数,896297
134,2011,負傷者数,854613
135,2012,負傷者数,825392
136,2013,負傷者数,781492
137,2014,負傷者数,711374
138,2015,負傷者数,666023
139,2016,負傷者数,618853
140,2017,負傷者数,580850
141,2018,負傷者数,524695
142,1948,死者数,3848
143,1949,死者数,3790
144,1950,死者数,4202
145,1951,死者数,4429
146,1952,死者数,4696
147,1953,死者数,5544
148,1954,死者数,6374
149,1955,死者数,6379
150,1956,死者数,6751
151,1957,死者数,7575
152,1958,死者数,8248
153,1959,死者数,10079
154,1960,死者数,12055
155,1961,死者数,12865
156,1962,死者数,11445
157,1963,死者数,12301
158,1964,死者数,13318
159,1965,死者数,12484
160,1966,死者数,13904
161,1967,死者数,13618
162,1968,死者数,14256
163,1969,死者数,16257
164,1970,死者数,16765
165,1971,死者数,16278
166,1972,死者数,15918
167,1973,死者数,14574
168,1974,死者数,11432
169,1975,死者数,10792
170,1976,死者数,9734
171,1977,死者数,8945
172,1978,死者数,8783
173,1979,死者数,8466
174,1980,死者数,8760
175,1981,死者数,8719
176,1982,死者数,9073
177,1983,死者数,9520
178,1984,死者数,9262
179,1985,死者数,9261
180,1986,死者数,9317
181,1987,死者数,9347
182,1988,死者数,10344
183,1989,死者数,11086
184,1990,死者数,11227
185,1991,死者数,11109
186,1992,死者数,11452
187,1993,死者数,10945
188,1994,死者数,10653
189,1995,死者数,10684
190,1996,死者数,9943
191,1997,死者数,9642
192,1998,死者数,9214
193,1999,死者数,9012
194,2000,死者数,9073
195,2001,死者数,8757
196,2002,死者数,8396
197,2003,死者数,7768
198,2004,死者数,7436
199,2005,死者数,6937
200,2006,死者数,6415
201,2007,死者数,5796
202,2008,死者数,5209
203,2009,死者数,4979
204,2010,死者数,4948
205,2011,死者数,4691
206,2012,死者数,4438
207,2013,死者数,4388
208,2014,死者数,4113
209,2015,死者数,4117
210,2016,死者数,3904
211,2017,死者数,3694
212,2018,死者数,3532
