,Year,Country,Type,Value
0,1990,Australia,elderly_pop_ratio,0.1109503
1,1995,Australia,elderly_pop_ratio,0.1190225
2,2000,Australia,elderly_pop_ratio,0.1242314
3,2001,Australia,elderly_pop_ratio,0.12549939999999998
4,2002,Australia,elderly_pop_ratio,0.126494
5,2003,Australia,elderly_pop_ratio,0.1273262
6,2004,Australia,elderly_pop_ratio,0.1283801
7,2005,Australia,elderly_pop_ratio,0.1294543
8,2006,Australia,elderly_pop_ratio,0.1302626
9,2007,Australia,elderly_pop_ratio,0.1314096
10,2008,Australia,elderly_pop_ratio,0.13200620000000002
11,2009,Australia,elderly_pop_ratio,0.1332749
12,2010,Australia,elderly_pop_ratio,0.13557550000000002
13,2011,Australia,elderly_pop_ratio,0.1382274
14,2012,Australia,elderly_pop_ratio,0.1415875
15,2013,Australia,elderly_pop_ratio,0.14433970000000002
16,1990,Austria,elderly_pop_ratio,0.14934
17,1995,Austria,elderly_pop_ratio,0.1512837
18,2000,Austria,elderly_pop_ratio,0.154257
19,2001,Austria,elderly_pop_ratio,0.1546345
20,2002,Austria,elderly_pop_ratio,0.1546417
21,2003,Austria,elderly_pop_ratio,0.1544418
22,2004,Austria,elderly_pop_ratio,0.1571051
23,2005,Austria,elderly_pop_ratio,0.16222720000000002
24,2006,Austria,elderly_pop_ratio,0.1666498
25,2007,Austria,elderly_pop_ratio,0.170263
26,2008,Austria,elderly_pop_ratio,0.17262260000000001
27,2009,Austria,elderly_pop_ratio,0.1752617
28,2010,Austria,elderly_pop_ratio,0.1767241
29,2011,Austria,elderly_pop_ratio,0.17689560000000001
30,2012,Austria,elderly_pop_ratio,0.1794689
31,2013,Austria,elderly_pop_ratio,0.182115
32,1990,Belgium,elderly_pop_ratio,0.14922370000000001
33,1995,Belgium,elderly_pop_ratio,0.1589328
34,2000,Belgium,elderly_pop_ratio,0.1680198
35,2001,Belgium,elderly_pop_ratio,0.16896420000000006
36,2002,Belgium,elderly_pop_ratio,0.16978870000000001
37,2003,Belgium,elderly_pop_ratio,0.17070470000000001
38,2004,Belgium,elderly_pop_ratio,0.171748
39,2005,Belgium,elderly_pop_ratio,0.1721847
40,2006,Belgium,elderly_pop_ratio,0.1715534
41,2007,Belgium,elderly_pop_ratio,0.1708021
42,2008,Belgium,elderly_pop_ratio,0.1707055
43,2009,Belgium,elderly_pop_ratio,0.17120999999999997
44,2010,Belgium,elderly_pop_ratio,0.171394
45,2011,Belgium,elderly_pop_ratio,0.1723479
46,2012,Belgium,elderly_pop_ratio,0.1745372
47,2013,Belgium,elderly_pop_ratio,0.1766933
48,1990,Canada,elderly_pop_ratio,0.112827
49,1995,Canada,elderly_pop_ratio,0.11974320000000001
50,2000,Canada,elderly_pop_ratio,0.1255728
51,2001,Canada,elderly_pop_ratio,0.12644819999999998
52,2002,Canada,elderly_pop_ratio,0.1272997
53,2003,Canada,elderly_pop_ratio,0.1284566
54,2004,Canada,elderly_pop_ratio,0.12966060000000001
55,2005,Canada,elderly_pop_ratio,0.1308672
56,2006,Canada,elderly_pop_ratio,0.1327605
57,2007,Canada,elderly_pop_ratio,0.1345915
58,2008,Canada,elderly_pop_ratio,0.1367557
59,2009,Canada,elderly_pop_ratio,0.13907470000000002
60,2010,Canada,elderly_pop_ratio,0.1415542
61,2011,Canada,elderly_pop_ratio,0.1445124
62,2012,Canada,elderly_pop_ratio,0.1487027
63,2013,Canada,elderly_pop_ratio,0.15306940000000002
64,1990,Czech Republic,elderly_pop_ratio,0.1456867
65,1995,Czech Republic,elderly_pop_ratio,0.1473122
66,2000,Czech Republic,elderly_pop_ratio,0.1532366
67,2001,Czech Republic,elderly_pop_ratio,0.155422
68,2002,Czech Republic,elderly_pop_ratio,0.1559395
69,2003,Czech Republic,elderly_pop_ratio,0.1566439
70,2004,Czech Republic,elderly_pop_ratio,0.15772670000000003
71,2005,Czech Republic,elderly_pop_ratio,0.1591213
72,2006,Czech Republic,elderly_pop_ratio,0.1609533
73,2007,Czech Republic,elderly_pop_ratio,0.1630105
74,2008,Czech Republic,elderly_pop_ratio,0.1648609
75,2009,Czech Republic,elderly_pop_ratio,0.16691579999999998
76,2010,Czech Republic,elderly_pop_ratio,0.1685229
77,2011,Czech Republic,elderly_pop_ratio,0.17029260000000002
78,2012,Czech Republic,elderly_pop_ratio,0.1728034
79,2013,Czech Republic,elderly_pop_ratio,0.1760442
80,1990,Denmark,elderly_pop_ratio,0.1531287
81,1995,Denmark,elderly_pop_ratio,0.1614479
82,2000,Denmark,elderly_pop_ratio,0.17238320000000001
83,2001,Denmark,elderly_pop_ratio,0.1764162
84,2002,Denmark,elderly_pop_ratio,0.1806539
85,2003,Denmark,elderly_pop_ratio,0.1858379
86,2004,Denmark,elderly_pop_ratio,0.19271190000000002
87,2005,Denmark,elderly_pop_ratio,0.1922634
88,2006,Denmark,elderly_pop_ratio,0.19736789999999999
89,2007,Denmark,elderly_pop_ratio,0.2023536
90,2008,Denmark,elderly_pop_ratio,0.2048335
91,2009,Denmark,elderly_pop_ratio,0.2079508
92,2010,Denmark,elderly_pop_ratio,0.2098146
93,2011,Denmark,elderly_pop_ratio,0.2099465
94,2012,Denmark,elderly_pop_ratio,0.2110107
95,2013,Denmark,elderly_pop_ratio,0.2127253
96,1990,Finland,elderly_pop_ratio,0.135758
97,1995,Finland,elderly_pop_ratio,0.1514558
98,2000,Finland,elderly_pop_ratio,0.16643899999999998
99,2001,Finland,elderly_pop_ratio,0.1692231
100,2002,Finland,elderly_pop_ratio,0.1696281
101,2003,Finland,elderly_pop_ratio,0.16871760000000002
102,2004,Finland,elderly_pop_ratio,0.16692479999999998
103,2005,Finland,elderly_pop_ratio,0.16559539999999998
104,2006,Finland,elderly_pop_ratio,0.1659656
105,2007,Finland,elderly_pop_ratio,0.1647235
106,2008,Finland,elderly_pop_ratio,0.1647863
107,2009,Finland,elderly_pop_ratio,0.16664920000000003
108,2010,Finland,elderly_pop_ratio,0.1695096
109,2011,Finland,elderly_pop_ratio,0.17229020000000003
110,2012,Finland,elderly_pop_ratio,0.1749094
111,2013,Finland,elderly_pop_ratio,0.1791146
112,1990,France,elderly_pop_ratio,0.1337746
113,1995,France,elderly_pop_ratio,0.14212999999999998
114,2000,France,elderly_pop_ratio,0.1491499
115,2001,France,elderly_pop_ratio,0.1507325
116,2002,France,elderly_pop_ratio,0.15247070000000001
117,2003,France,elderly_pop_ratio,0.1546135
118,2004,France,elderly_pop_ratio,0.1572303
119,2005,France,elderly_pop_ratio,0.1593595
120,2006,France,elderly_pop_ratio,0.1625214
121,2007,France,elderly_pop_ratio,0.1648705
122,2008,France,elderly_pop_ratio,0.16638429999999998
123,2009,France,elderly_pop_ratio,0.1687582
124,2010,France,elderly_pop_ratio,0.1726645
125,2011,France,elderly_pop_ratio,0.1781737
126,2012,France,elderly_pop_ratio,0.18452159999999998
127,2013,France,elderly_pop_ratio,0.1906601
128,1990,Germany,elderly_pop_ratio,0.1250658
129,1995,Germany,elderly_pop_ratio,0.1321973
130,2000,Germany,elderly_pop_ratio,0.1384135
131,2001,Germany,elderly_pop_ratio,0.1382226
132,2002,Germany,elderly_pop_ratio,0.13877689999999998
133,2003,Germany,elderly_pop_ratio,0.1391703
134,2004,Germany,elderly_pop_ratio,0.13989390000000002
135,2005,Germany,elderly_pop_ratio,0.1412161
136,2006,Germany,elderly_pop_ratio,0.1430708
137,2007,Germany,elderly_pop_ratio,0.1448915
138,2008,Germany,elderly_pop_ratio,0.1472276
139,2009,Germany,elderly_pop_ratio,0.1504446
140,2010,Germany,elderly_pop_ratio,0.1537319
141,2011,Germany,elderly_pop_ratio,0.15902329999999998
142,2012,Germany,elderly_pop_ratio,0.1650319
143,2013,Germany,elderly_pop_ratio,0.1708978
144,1990,Greece,elderly_pop_ratio,0.1573108
145,1995,Greece,elderly_pop_ratio,0.1584662
146,2000,Greece,elderly_pop_ratio,0.15806810000000002
147,2001,Greece,elderly_pop_ratio,0.1585776
148,2002,Greece,elderly_pop_ratio,0.153777
149,2003,Greece,elderly_pop_ratio,0.15425129999999998
150,2004,Greece,elderly_pop_ratio,0.15458819999999998
151,2005,Greece,elderly_pop_ratio,0.1545791
152,2006,Greece,elderly_pop_ratio,0.1542509
153,2007,Greece,elderly_pop_ratio,0.154497
154,2008,Greece,elderly_pop_ratio,0.161678
155,2009,Greece,elderly_pop_ratio,0.1575582
156,2010,Greece,elderly_pop_ratio,0.1594633
157,2011,Greece,elderly_pop_ratio,0.16135370000000002
158,2012,Greece,elderly_pop_ratio,0.166004
159,2013,Greece,elderly_pop_ratio,0.1696073
160,1990,Hungary,elderly_pop_ratio,0.1373913
161,1995,Hungary,elderly_pop_ratio,0.1512176
162,2000,Hungary,elderly_pop_ratio,0.16631859999999998
163,2001,Hungary,elderly_pop_ratio,0.1724201
164,2002,Hungary,elderly_pop_ratio,0.17563510000000002
165,2003,Hungary,elderly_pop_ratio,0.17874000000000007
166,2004,Hungary,elderly_pop_ratio,0.18142350000000002
167,2005,Hungary,elderly_pop_ratio,0.1836293
168,2006,Hungary,elderly_pop_ratio,0.1852484
169,2007,Hungary,elderly_pop_ratio,0.1860611
170,2008,Hungary,elderly_pop_ratio,0.18675129999999998
171,2009,Hungary,elderly_pop_ratio,0.1880197
172,2010,Hungary,elderly_pop_ratio,0.19097999999999998
173,2011,Hungary,elderly_pop_ratio,0.1949838
174,2012,Hungary,elderly_pop_ratio,0.1990983
