,都道府県,variable,value
0,北海道,1975,36.36278265988493
1,青森県,1975,38.60545027353909
2,岩手県,1975,37.05958881999793
3,宮城県,1975,33.079410750281454
4,秋田県,1975,39.92897312062799
5,山形県,1975,37.64842901894251
6,福島県,1975,33.50627582174308
7,茨城県,1975,28.183040627173273
8,栃木県,1975,30.310259277896424
9,群馬県,1975,28.825536023988825
10,埼玉県,1975,27.131425383721126
11,千葉県,1975,27.838380334537216
12,東京都,1975,32.91855650773361
13,神奈川県,1975,28.685197640262157
14,新潟県,1975,36.72064999322656
15,富山県,1975,34.72934705340807
16,石川県,1975,33.10484315276292
17,福井県,1975,33.15485770847443
18,山梨県,1975,27.994712529276235
19,長野県,1975,32.92496592487157
20,岐阜県,1975,33.23862741161013
21,静岡県,1975,30.51425333843906
22,愛知県,1975,31.964225814196634
23,三重県,1975,34.922695186190595
24,滋賀県,1975,26.245804082244483
25,京都府,1975,34.29632976246342
26,大阪府,1975,35.45267289528814
27,兵庫県,1975,35.10215520456445
28,奈良県,1975,29.03739419635772
29,和歌山県,1975,44.2981542073348
30,鳥取県,1975,35.49833927702946
31,島根県,1975,35.91145596963183
32,岡山県,1975,37.358599800985665
33,広島県,1975,37.495690378369275
34,山口県,1975,40.18767698792528
35,徳島県,1975,37.75486378059767
36,香川県,1975,37.84808673748236
37,愛媛県,1975,38.74908612250192
38,高知県,1975,40.13544102779426
39,福岡県,1975,37.730161747111715
40,佐賀県,1975,37.320706783931215
41,長崎県,1975,40.09737799135092
42,熊本県,1975,35.485232400833425
43,大分県,1975,33.47209696792172
44,宮崎県,1975,34.289811054915695
45,鹿児島県,1975,35.004023986060076
46,沖縄県,1975,32.17148909022913
47,北海道,1976,41.24794331348966
48,青森県,1976,42.67421669778652
49,岩手県,1976,40.54045566194955
50,宮城県,1976,36.76764965079297
51,秋田県,1976,44.36696398171977
52,山形県,1976,41.06226555979906
53,福島県,1976,36.76801705513848
54,茨城県,1976,31.38025270102956
55,栃木県,1976,35.604930043939234
56,群馬県,1976,33.1065665776319
57,埼玉県,1976,30.507322856841775
58,千葉県,1976,31.91918449454824
59,東京都,1976,36.24631960658915
60,神奈川県,1976,32.917140519662006
61,新潟県,1976,40.104819769146914
62,富山県,1976,38.8460453787976
63,石川県,1976,37.36842878515933
64,福井県,1976,37.37445470224207
65,山梨県,1976,31.307797079978016
66,長野県,1976,36.60825696272947
67,岐阜県,1976,37.70066464132796
68,静岡県,1976,34.22823226835003
69,愛知県,1976,36.43593236490085
70,三重県,1976,38.74697213594062
71,滋賀県,1976,30.10609838359108
72,京都府,1976,38.721707455798885
73,大阪府,1976,39.96534769695326
74,兵庫県,1976,41.541305835386346
75,奈良県,1976,33.54803333210022
76,和歌山県,1976,46.683296875998344
77,鳥取県,1976,40.04790076315569
78,島根県,1976,40.215909355517645
79,岡山県,1976,40.97203285613333
80,広島県,1976,41.255953853839806
81,山口県,1976,44.207745441349346
82,徳島県,1976,42.775712810843
83,香川県,1976,41.31419746938756
84,愛媛県,1976,44.27541505929385
85,高知県,1976,45.33540068166198
86,福岡県,1976,41.54051985054291
87,佐賀県,1976,41.442337215513575
88,長崎県,1976,44.88617892127912
89,熊本県,1976,39.668170911137665
90,大分県,1976,37.665703811542535
91,宮崎県,1976,37.91539008553371
92,鹿児島県,1976,40.235588137212645
93,沖縄県,1976,34.02311397163707
94,北海道,1977,46.55711448837813
95,青森県,1977,47.528417250567244
96,岩手県,1977,45.9146626193586
97,宮城県,1977,41.21415647565721
98,秋田県,1977,50.04441814042273
99,山形県,1977,46.59037888584762
100,福島県,1977,41.10149469472028
101,茨城県,1977,35.54492776248833
102,栃木県,1977,38.441418628777576
103,群馬県,1977,37.230319409411486
104,埼玉県,1977,33.425524638387444
105,千葉県,1977,34.47953665702847
106,東京都,1977,40.5232306317238
107,神奈川県,1977,36.37252529897637
108,新潟県,1977,45.376239132085274
109,富山県,1977,42.724312733798705
110,石川県,1977,41.42003619080734
111,福井県,1977,40.66683986411084
112,山梨県,1977,34.47761292237343
113,長野県,1977,41.84638502498428
114,岐阜県,1977,41.32625636939694
115,静岡県,1977,37.80553501706993
116,愛知県,1977,40.13624578274083
117,三重県,1977,41.90657719452681
118,滋賀県,1977,33.485017613111154
119,京都府,1977,43.36170935619909
120,大阪府,1977,43.862815411873214
121,兵庫県,1977,44.510449558570606
122,奈良県,1977,37.86997712385933
123,和歌山県,1977,51.02131273836791
124,鳥取県,1977,44.1486786051417
125,島根県,1977,45.25918009189715
126,岡山県,1977,44.511716774014666
127,広島県,1977,45.255526978184434
128,山口県,1977,47.88223188558632
129,徳島県,1977,45.869941070095734
130,香川県,1977,46.05700072143588
131,愛媛県,1977,45.35372600492514
132,高知県,1977,50.71293023168531
133,福岡県,1977,47.29592725993658
134,佐賀県,1977,47.72187942949195
135,長崎県,1977,50.38421212732573
136,熊本県,1977,44.63879370784742
137,大分県,1977,44.28929272732628
138,宮崎県,1977,43.99502881030392
139,鹿児島県,1977,45.935301859668456
140,沖縄県,1977,37.9665333826383
141,北海道,1978,50.581460998396196
142,青森県,1978,52.59536461502323
143,岩手県,1978,51.09145519293271
144,宮城県,1978,45.982262887898955
145,秋田県,1978,52.72242109119611
146,山形県,1978,50.810529064886545
147,福島県,1978,46.10272624804653
148,茨城県,1978,39.005061216913866
149,栃木県,1978,44.063994517376706
150,群馬県,1978,41.35361391434472
151,埼玉県,1978,37.56379682148184
152,千葉県,1978,38.34930958467056
153,東京都,1978,44.13906040108399
154,神奈川県,1978,40.27212347697739
155,新潟県,1978,49.45045729475825
156,富山県,1978,47.30542704315298
157,石川県,1978,44.9319647102899
158,福井県,1978,43.45546723552203
159,山梨県,1978,38.88521222434972
160,長野県,1978,45.237210827623294
161,岐阜県,1978,45.30357018084802
162,静岡県,1978,42.15276172394316
163,愛知県,1978,43.938801544639816
164,三重県,1978,45.40376437334528
165,滋賀県,1978,38.307642341419545
166,京都府,1978,48.38594842295917
167,大阪府,1978,46.722528644973224
168,兵庫県,1978,48.14090499782177
169,奈良県,1978,42.547384160450406
170,和歌山県,1978,55.31219443495702
171,鳥取県,1978,48.05635283738325
172,島根県,1978,49.81749353350672
173,岡山県,1978,50.10188001550975
174,広島県,1978,48.91638967659848
175,山口県,1978,50.589468656272004
176,徳島県,1978,51.61007833338409
177,香川県,1978,49.190358264570214
178,愛媛県,1978,50.51539524424835
179,高知県,1978,55.25567015629434
180,福岡県,1978,51.54833156804028
181,佐賀県,1978,52.51879050947832
182,長崎県,1978,52.904274680049724
183,熊本県,1978,49.16408772674757
184,大分県,1978,49.7370521987403
185,宮崎県,1978,49.38903546957141
186,鹿児島県,1978,50.570295180009005
187,沖縄県,1978,42.594006793050795
188,北海道,1979,54.991644238303564
189,青森県,1979,57.08491613857082
190,岩手県,1979,55.33036855661743
191,宮城県,1979,48.87804537941464
192,秋田県,1979,56.44481478794439
193,山形県,1979,53.807409099884204
194,福島県,1979,50.55866919037594
195,茨城県,1979,42.80455240151705
196,栃木県,1979,50.59369903042289
197,群馬県,1979,45.785935295421005
198,埼玉県,1979,42.5265693121262
199,千葉県,1979,42.89256718537659
200,東京都,1979,47.51451822130514
201,神奈川県,1979,44.26537062948641
202,新潟県,1979,51.3031325100324
203,富山県,1979,52.555919404272174
204,石川県,1979,47.92943527159022
205,福井県,1979,46.988283809831955
206,山梨県,1979,42.03262176887852
207,長野県,1979,48.3555461130732
208,岐阜県,1979,48.64303473820719
209,静岡県,1979,46.74407388546203
210,愛知県,1979,47.709053406381265
211,三重県,1979,50.7424091372607
212,滋賀県,1979,41.40239338446548
