,都道府県,variable,value
0,北海道,1975,100.0
1,青森県,1975,100.0
2,岩手県,1975,100.0
3,宮城県,1975,100.0
4,秋田県,1975,100.0
5,山形県,1975,100.0
6,福島県,1975,100.0
7,茨城県,1975,100.0
8,栃木県,1975,100.0
9,群馬県,1975,100.0
10,埼玉県,1975,100.0
11,千葉県,1975,100.0
12,東京都,1975,100.0
13,神奈川県,1975,100.0
14,新潟県,1975,100.0
15,富山県,1975,100.0
16,石川県,1975,100.0
17,福井県,1975,100.0
18,山梨県,1975,100.0
19,長野県,1975,100.0
20,岐阜県,1975,100.0
21,静岡県,1975,100.0
22,愛知県,1975,100.0
23,三重県,1975,100.0
24,滋賀県,1975,100.0
25,京都府,1975,100.0
26,大阪府,1975,100.0
27,兵庫県,1975,100.0
28,奈良県,1975,100.0
29,和歌山県,1975,100.0
30,鳥取県,1975,100.0
31,島根県,1975,100.0
32,岡山県,1975,100.0
33,広島県,1975,100.0
34,山口県,1975,100.0
35,徳島県,1975,100.0
36,香川県,1975,100.0
37,愛媛県,1975,100.0
38,高知県,1975,100.0
39,福岡県,1975,100.0
40,佐賀県,1975,100.0
41,長崎県,1975,100.0
42,熊本県,1975,100.0
43,大分県,1975,100.0
44,宮崎県,1975,100.0
45,鹿児島県,1975,100.0
46,沖縄県,1975,100.0
47,北海道,1976,113.4345071973658
48,青森県,1976,110.53935751407681
49,岩手県,1976,109.39262132361624
50,宮城県,1976,111.14965114812429
51,秋田県,1976,111.11471323763907
52,山形県,1976,109.06767328628482
53,福島県,1976,109.7347173131034
54,茨城県,1976,111.34445397908425
55,栃木県,1976,117.46824636998048
56,群馬県,1976,114.8515210613269
57,埼玉県,1976,112.44275752333377
58,千葉県,1976,114.6589137405679
59,東京都,1976,110.10907965564571
60,神奈川県,1976,114.75305463281855
61,新潟県,1976,109.21598549193601
62,富山県,1976,111.85365886395363
63,石川県,1976,112.87903891500713
64,福井県,1976,112.72693440843543
65,山梨県,1976,111.83467966401524
66,長野県,1976,111.1869243730197
67,岐阜県,1976,113.42425237499205
68,静岡県,1976,112.17129217850609
69,愛知県,1976,113.98972268778726
70,三重県,1976,110.95069246334187
71,滋賀県,1976,114.70823408286475
72,京都府,1976,112.90335649320396
73,大阪府,1976,112.7287294105965
74,兵庫県,1976,118.3440321350542
75,奈良県,1976,115.53389779138065
76,和歌山県,1976,105.38429357011137
77,鳥取県,1976,112.81626571491527
78,島根県,1976,111.98629593165433
79,岡山県,1976,109.67229252273081
80,広島県,1976,110.02852177817152
81,山口県,1976,110.00323670022512
82,徳島県,1976,113.2985489218625
83,香川県,1976,109.15795494748902
84,愛媛県,1976,114.26183038051765
85,高知県,1976,112.9560296852517
86,福岡県,1976,110.09897102739792
87,佐賀県,1976,111.04381665503978
88,長崎県,1976,111.9429278666579
89,熊本県,1976,111.78782898489908
90,大分県,1976,112.5286648387754
91,宮崎県,1976,110.5733421068188
92,鹿児島県,1976,114.9456078342192
93,沖縄県,1976,105.75548391998524
94,北海道,1977,128.03507070359467
95,青森県,1977,123.11323119871528
96,岩手県,1977,123.8941501546891
97,宮城県,1977,124.5915678087057
98,秋田県,1977,125.33359670742179
99,山形県,1977,123.75118989003775
100,福島県,1977,122.66804855718543
101,茨城県,1977,126.12169223578003
102,栃木県,1977,126.82642624839158
103,群馬県,1977,129.15742270474394
104,埼玉県,1977,123.19855726578517
105,千葉県,1977,123.85611606237026
106,東京都,1977,123.1014811424177
107,神奈川県,1977,126.79893565705953
108,新潟県,1977,123.57144860032521
109,富山県,1977,123.02077740792441
110,石川県,1977,125.11775391798055
111,福井県,1977,122.65725952344033
112,山梨県,1977,123.15758872793398
113,長野県,1977,127.09621361634713
114,岐阜県,1977,124.33201846043085
115,静岡県,1977,123.8946750482863
116,愛知県,1977,125.56614390114422
117,三重県,1977,119.99811861914324
118,滋賀県,1977,127.582365197049
119,京都府,1977,126.43250650003235
120,大阪府,1977,123.72216769501414
121,兵庫県,1977,126.80261168916138
122,奈良県,1977,130.41795991669775
123,和歌山県,1977,115.17706245629509
124,鳥取県,1977,124.36829300831482
125,島根県,1977,126.0299224018378
126,岡山県,1977,119.14717631585397
127,広島県,1977,120.69527596774614
128,山口県,1977,119.14655305897112
129,徳島県,1977,121.49412413896306
130,香川県,1977,121.68911216276601
131,愛媛県,1977,117.04463393418678
132,高知県,1977,126.35448604281194
133,福岡県,1977,125.35309966848243
134,佐賀県,1977,127.86970971846398
135,長崎県,1977,125.6546304304329
136,熊本県,1977,125.79541033750989
137,大分県,1977,132.3170543207117
138,宮崎県,1977,128.30350315971458
139,鹿児島県,1977,131.228632108016
140,沖縄県,1977,118.01298123365136
141,北海道,1978,139.10228342947246
142,青森県,1978,136.23818461475915
143,岩手県,1978,137.86298450608544
144,宮城県,1978,139.00568917331066
145,秋田県,1978,132.04051336837114
146,山形県,1978,134.9605558290935
147,福島県,1978,137.59430171624533
148,茨城県,1978,138.3990525823758
149,栃木県,1978,145.3765014458656
150,群馬県,1978,143.46173434530388
151,埼玉県,1978,138.4512471800326
152,千葉県,1978,137.75697121679576
153,東京都,1978,134.08564980883756
154,神奈川県,1978,140.39339725675092
155,新潟県,1978,134.66661756771686
156,富山県,1978,136.2116799098035
157,石川県,1978,135.72625764438908
158,福井県,1978,131.0681759445909
159,山梨県,1978,138.901987951062
160,長野県,1978,137.39485996992642
161,岐阜県,1978,136.29795725266214
162,静岡県,1978,138.14121963404875
163,愛知県,1978,137.46243003052737
164,三重県,1978,130.01220017892317
165,滋賀県,1978,145.95720604092674
166,京都府,1978,141.08200136306283
167,大阪府,1978,131.78845155898784
168,兵庫県,1978,137.14515452761106
169,奈良県,1978,146.5261788738168
170,和歌山県,1978,124.86342924373707
171,鳥取県,1978,135.37634102359243
172,島根県,1978,138.72312382888177
173,岡山県,1978,134.11070083570922
174,広島県,1978,130.4586985410399
175,山口県,1978,125.88303790605273
176,徳島県,1978,136.69782689007252
177,香川県,1978,129.96788610679013
178,愛媛県,1978,130.36538483655653
179,高知県,1978,137.67301103787335
180,福岡県,1978,136.6236697142873
181,佐賀県,1978,140.72292578363167
182,長崎県,1978,131.93948664538934
183,熊本県,1978,138.54802237562035
184,大分県,1978,148.5925792053191
185,宮崎県,1978,144.03414294256115
186,鹿児島県,1978,144.46994779842456
187,沖縄県,1978,132.3967525208123
188,北海道,1979,151.23057207326931
189,青森県,1979,147.8675050649465
190,岩手県,1979,149.3010859493409
191,宮城県,1979,147.75972204704024
192,秋田県,1979,141.3630513798113
193,山形県,1979,142.9207287050714
194,福島県,1979,150.89313255628107
195,茨城県,1979,151.88053328868332
196,栃木県,1979,166.919387150601
197,群馬県,1979,158.83810541222064
198,埼玉県,1979,156.74284970535376
199,千葉県,1979,154.07709309928012
200,東京都,1979,144.3396165021467
201,神奈川県,1979,154.31433028495553
202,新潟県,1979,139.7119400650471
203,富山県,1979,151.3299957049286
204,石川県,1979,144.78073510398144
205,福井県,1979,141.7236780896263
206,山梨県,1979,150.1448594084392
207,長野県,1979,146.86589569571987
208,岐阜県,1979,146.34489606275486
209,静岡県,1979,153.18767058467765
210,愛知県,1979,149.25765348958242
211,三重県,1979,145.2992355450437
212,滋賀県,1979,157.74861861624032
213,京都府,1979,149.20228806366015
214,大阪府,1979,138.20002253558366
215,兵庫県,1979,153.01179904165795
216,奈良県,1979,159.13833331792222
217,和歌山県,1979,131.12031064277744
218,鳥取県,1979,148.56030615135785
219,島根県,1979,147.73755835741736
220,岡山県,1979,148.0924916878385
221,広島県,1979,141.26204859726167
222,山口県,1979,136.3477576324141
223,徳島県,1979,142.77255063341454
224,香川県,1979,144.59827950398756
225,愛媛県,1979,149.38436683395489
226,高知県,1979,146.37765353725092
227,福岡県,1979,154.46399083623533
228,佐賀県,1979,149.4033095498647
229,長崎県,1979,138.54923846685773
230,熊本県,1979,151.06109439290464
231,大分県,1979,160.28038235109938
232,宮崎県,1979,152.60583178359857
233,鹿児島県,1979,150.81353771991022
234,沖縄県,1979,148.5898646521876
235,北海道,1980,166.61921852326955
236,青森県,1980,156.86915159605104
237,岩手県,1980,155.0769555631808
238,宮城県,1980,160.5146394976002
239,秋田県,1980,157.48652155458063
240,山形県,1980,154.22134690081515
241,福島県,1980,165.28058272204078
242,茨城県,1980,181.80560497289605
243,栃木県,1980,178.04598729454221
244,群馬県,1980,176.5495447374632
245,埼玉県,1980,174.81848764144186
246,千葉県,1980,167.7009031929118
247,東京都,1980,156.97486152267894
248,神奈川県,1980,173.03099756257788
249,新潟県,1980,159.20823213713203
250,富山県,1980,159.31802319338559
251,石川県,1980,158.16740287520747
252,福井県,1980,164.91290639375615
253,山梨県,1980,168.4462560461175
254,長野県,1980,161.70331044251114
255,岐阜県,1980,165.41197290015347
256,静岡県,1980,163.37534162477908
257,愛知県,1980,163.90162399054663
258,三重県,1980,159.26248910526903
259,滋賀県,1980,172.28429395602723
260,京都府,1980,169.82629116877737
261,大阪府,1980,156.64697715709298
262,兵庫県,1980,157.45061739135656
263,奈良県,1980,163.80780069925402
264,和歌山県,1980,145.35266745304034
