,年次,調査区域,項目,variable,value
0,1984年,全国,集計世帯数,平均,"49,954"
1,1984年,全国,世帯数分布（抽出率調整）,平均,"815,909"
2,1984年,全国,（１万分比）,平均,"10,000"
3,1984年,全国,世帯人員（人）,平均,3.85
4,1984年,全国,有業人員（人）,平均,1.7
5,1984年,全国,世帯主の年齢（歳）【歳】,平均,46.4
6,1984年,全国,持家率（％）,平均,74.3
7,1984年,全国,居住室数（室）【室】,平均,5.3
8,1984年,全国,家賃・地代を支払っている世帯割合（％）,平均,26.7
9,1984年,全国,年間収入（千円）,平均,"5,475"
10,1984年,全国,消費支出【円】,平均,"264,408"
11,1984年,全国,食料【円】,平均,"75,306"
12,1984年,全国,穀類【円】,平均,"9,218"
13,1984年,全国,米類【円】,平均,"5,662"
14,1984年,全国,パン【円】,平均,"1,987"
15,1984年,全国,めん類【円】,平均,"1,275"
16,1984年,全国,穀粉・その他【円】,平均,293
17,1984年,全国,魚介類【円】,平均,"11,007"
18,1984年,全国,生鮮魚介【円】,平均,"7,315"
19,1984年,全国,塩干魚介【円】,平均,"2,280"
20,1984年,全国,魚肉練製品【円】,平均,884
21,1984年,全国,他の魚介加工品【円】,平均,528
22,1984年,全国,肉類【円】,平均,"8,538"
23,1984年,全国,生鮮肉【円】,平均,"7,226"
24,1984年,全国,加工肉【円】,平均,"1,312"
25,1984年,全国,乳卵類【円】,平均,"3,940"
26,1984年,全国,牛乳【円】,平均,"2,045"
27,1984年,全国,乳製品【円】,平均,614
28,1984年,全国,卵【円】,平均,"1,281"
29,1984年,全国,野菜・海草【円】,平均,"9,092"
30,1984年,全国,生鮮野菜【円】,平均,"6,117"
31,1984年,全国,乾物・海草【円】,平均,727
32,1984年,全国,大豆加工品【円】,平均,"1,064"
33,1984年,全国,他の野菜・海草加工品【円】,平均,"1,184"
34,1984年,全国,果物【円】,平均,"4,527"
35,1984年,全国,生鮮果物【円】,平均,"4,449"
36,1984年,全国,果物加工品【円】,平均,78
37,1984年,全国,油脂・調味料【円】,平均,"3,041"
38,1984年,全国,油脂【円】,平均,470
39,1984年,全国,調味料【円】,平均,"2,571"
40,1984年,全国,菓子類【円】,平均,"5,271"
41,1984年,全国,調理食品【円】,平均,"3,443"
42,1984年,全国,主食的調理食品【円】,平均,822
43,1984年,全国,他の調理食品【円】,平均,"2,621"
44,1984年,全国,飲料【円】,平均,"2,393"
45,1984年,全国,茶類【円】,平均,437
46,1984年,全国,コーヒー・ココア【円】,平均,496
47,1984年,全国,他の飲料【円】,平均,"1,459"
48,1984年,全国,酒類【円】,平均,"3,506"
49,1984年,全国,外食【円】,平均,"11,331"
50,1984年,全国,一般外食【円】,平均,"9,566"
51,1984年,全国,学校給食【円】,平均,"1,766"
52,1984年,全国,住居【円】,平均,"12,001"
53,1984年,全国,家賃・地代【円】,平均,"6,631"
54,1984年,全国,設備修繕・維持【円】,平均,"5,371"
55,1984年,全国,設備材料【円】,平均,934
56,1984年,全国,工事その他のサービス【円】,平均,"4,437"
57,1984年,全国,光熱・水道【円】,平均,"15,954"
58,1984年,全国,電気代【円】,平均,"7,404"
59,1984年,全国,ガス代【円】,平均,"4,331"
60,1984年,全国,他の光熱【円】,平均,"1,350"
61,1984年,全国,水道料【円】,平均,"2,869"
62,1984年,全国,家具・家事用品【円】,平均,"11,301"
63,1984年,全国,家庭用耐久財【円】,平均,"4,053"
64,1984年,全国,家事用耐久財【円】,平均,"1,669"
65,1984年,全国,冷暖房用器具【円】,平均,"1,164"
66,1984年,全国,一般家具【円】,平均,"1,220"
67,1984年,全国,室内装備品【円】,平均,972
68,1984年,全国,寝具類【円】,平均,"1,521"
69,1984年,全国,家事雑貨【円】,平均,"2,077"
70,1984年,全国,家事用消耗品【円】,平均,"1,795"
71,1984年,全国,家事サービス【円】,平均,882
72,1984年,全国,被服及び履物【円】,平均,"18,172"
73,1984年,全国,和服【円】,平均,"1,627"
74,1984年,全国,洋服【円】,平均,"6,686"
75,1984年,全国,男子洋服【円】,平均,"2,423"
76,1984年,全国,婦人洋服【円】,平均,"3,372"
77,1984年,全国,子供洋服【円】,平均,891
78,1984年,全国,シャツ・セーター類【円】,平均,"2,908"
79,1984年,全国,男子シャツ・セーター類【円】,平均,"1,051"
80,1984年,全国,婦人シャツ・セーター類【円】,平均,"1,532"
81,1984年,全国,子供シャツ・セーター類【円】,平均,325
82,1984年,全国,下着類【円】,平均,"1,549"
83,1984年,全国,男子下着類【円】,平均,620
84,1984年,全国,婦人下着類【円】,平均,652
85,1984年,全国,子供下着類【円】,平均,277
86,1984年,全国,生地・糸類【円】,平均,958
87,1984年,全国,他の被服【円】,平均,"1,157"
88,1984年,全国,履物類【円】,平均,"1,873"
89,1984年,全国,被服関連サービス【円】,平均,"1,414"
90,1984年,全国,保健医療【円】,平均,"6,818"
91,1984年,全国,医薬品【円】,平均,"1,485"
92,1984年,全国,保健医療用品・器具【円】,平均,"1,254"
93,1984年,全国,保健医療サービス【円】,平均,"4,079"
94,1984年,全国,交通通信【円】,平均,"26,537"
95,1984年,全国,交通【円】,平均,"5,459"
96,1984年,全国,自動車等関係費【円】,平均,"14,929"
97,1984年,全国,自動車【円】,平均,"4,169"
98,1984年,全国,自転車【円】,平均,207
99,1984年,全国,自動車等維持【円】,平均,"10,554"
100,1984年,全国,通信【円】,平均,"6,149"
101,1984年,全国,教育【円】,平均,"10,369"
102,1984年,全国,授業料等【円】,平均,"8,232"
103,1984年,全国,教科書・学習参考書【円】,平均,370
104,1984年,全国,補習教育【円】,平均,"1,767"
105,1984年,全国,教養娯楽【円】,平均,"22,332"
106,1984年,全国,教養娯楽用耐久財【円】,平均,"2,235"
107,1984年,全国,教養娯楽用品【円】,平均,"4,494"
